userName,score,at,content,clean,text_preprocessed,toSantance,polarity_score,polarity
Erna Karlina,5,2023-02-14 03:24:39,Memudahkan kita transaksi,memudahkan kita transaksi,"['mudah', 'transaksi']",memudahkan transaksi,7,positive
om yunista,5,2023-02-14 03:23:41,Cukup membantu sekali buat memindah uang...,cukup membantu sekali buat memindah uang,"['bantu', 'pindah', 'uang']",membantu memindah uang,-3,negative
irfan aditiya,1,2023-02-14 03:21:06,"Aplikasi buruk, setiap mau daftar selalu gagal, sudah ribuan kali coba foto, rekam dll tetap tidak bisa daftar, komplain ke CS BRI disuruh registrasi lewat hp, gimana mau registrasi, gak lagi pake bank ini",aplikasi buruk setiap mau daftar selalu gagal sudah ribuan kali coba foto rekam dll tetap tidak bisa daftar komplain ke cs bri disuruh registrasi lewat hp gimana mau registrasi gak lagi pake bank ini,"['aplikasi', 'buruk', 'daftar', 'gagal', 'ribu', 'kali', 'coba', 'foto', 'rekam', 'dan', 'lain', 'daftar', 'komplain', 'cs', 'bri', 'suruh', 'registrasi', 'hp', 'registrasi', 'pakai', 'bank']",aplikasi buruk daftar gagal ribuan kali coba foto rekam dan lain-lain daftar komplain cs bri disuruh registrasi hp registrasi pakai bank,-20,negative
Anang Murjani,5,2023-02-14 03:17:36,BRImo is the best,brimo is the best,"['brimo', 'is', 'the', 'best']",brimo is the best,0,neutral
Dian Setianto,1,2023-02-14 03:11:01,"Sudah coba berkali tidak bisa selalu terkendala di perekaman video, untuk pengembang aplikasi mohon segera di perbaiki.!!!!!",sudah coba berkali tidak bisa selalu terkendala di perekaman video untuk pengembang aplikasi mohon segera di perbaiki,"['coba', 'kali', 'kendala', 'rekam', 'video', 'kembang', 'aplikasi', 'mohon', 'baik']",coba berkali terkendala perekaman video pengembang aplikasi mohon perbaiki,1,positive
Doni Kyo,1,2023-02-14 03:08:48,"Mau daftar kenapa gak bisa pake nmor baru,, Mana di minta nmor telpon yg lama,, Ya mana ad lagi,, Padahal tinggal nmor telpon yg mau di masukan,malah bikin susah,, Kan udah ad ktp sama nmor reg malah nmor telpon yg bikin susah,, Jadi gak bisa daftar,, Kasih solusi kek apa,,minta email kek ribet",mau daftar kenapa gak bisa pake nmor baru mana di minta nmor telpon yg lama ya mana ad lagi padahal tinggal nmor telpon yg mau di masukanmalah bikin susah kan udah ad ktp sama nmor reg malah nmor telpon yg bikin susah jadi gak bisa daftar kasih solusi kek apaminta email kek ribet,"['daftar', 'pakai', 'nmor', 'nmor', 'telpon', 'iya', 'tinggal', 'nmor', 'telpon', 'masukanmalah', 'bikin', 'susah', 'ktp', 'nmor', 'register', 'nmor', 'telpon', 'bikin', 'susah', 'daftar', 'kasih', 'solusi', 'apaminta', 'email', 'ribet']",daftar pakai nmor nmor telpon iya tinggal nmor telpon masukanmalah bikin susah ktp nmor register nmor telpon bikin susah daftar kasih solusi apaminta email ribet,-12,negative
Aris Fadilah,5,2023-02-14 03:07:39,Cara cepat dan mudah,cara cepat dan mudah,"['cepat', 'mudah']",cepat mudah,3,positive
henny nana,5,2023-02-14 03:00:25,Bagus,bagus,['bagus'],bagus,-2,negative
Ahmad Saukani,5,2023-02-14 02:59:56,"Mudah, cepat dan simpel",mudah cepat dan simpel,"['mudah', 'cepat', 'simpel']",mudah cepat simpel,6,positive
Juli Dwi,5,2023-02-14 02:56:03,Sangat membantu,sangat membantu,['bantu'],membantu,-1,negative
uka83 Chanel,1,2023-02-14 02:54:15,"Aplikasi brimo ini memang sulit dan bisa di bilang kurang bagus, jadi bukannya mempermudah tapi malah mempersulit custemer yg mau bikin akun brimo, banyak sekali keluhan² di ulasan yg lain bener apa yg mereka keluhkan di alami juga sama saya, mohon di perbaiki !!! Terlepas dari jaringan krng bagus atau sistem error yg jelas banyak custemer yg kecewa , Salam hormat,,,",aplikasi brimo ini memang sulit dan bisa di bilang kurang bagus jadi bukannya mempermudah tapi malah mempersulit custemer yg mau bikin akun brimo banyak sekali keluhan di ulasan yg lain bener apa yg mereka keluhkan di alami juga sama saya mohon di perbaiki  terlepas dari jaringan krng bagus atau sistem error yg jelas banyak custemer yg kecewa  salam hormat,"['aplikasi', 'brimo', 'sulit', 'bilang', 'bagus', 'mudah', 'sulit', 'custemer', 'bikin', 'akun', 'brimo', 'keluh', 'ulas', 'keluh', 'alami', 'mohon', 'baik', 'lepas', 'jaring', 'krng', 'bagus', 'sistem', 'error', 'custemer', 'kecewa', 'salam', 'hormat']",aplikasi brimo sulit bilang bagus mempermudah mempersulit custemer bikin akun brimo keluhan ulasan keluhkan alami mohon perbaiki terlepas jaringan krng bagus sistem error custemer kecewa salam hormat,-14,negative
Marsya Khadijah,5,2023-02-14 02:53:52,Puas banget makasih,puas banget makasih,"['puas', 'banget', 'terima', 'kasih']",puas banget terima kasih,7,positive
Ahmad Al Farizi,5,2023-02-14 02:52:09,SEMOGA DAPET BONUS,semoga dapet bonus,"['moga', 'bonus']",semoga bonus,2,positive
Mochammad Mobin,5,2023-02-14 02:46:13,Aplikasinya mudah dan lengkap..,aplikasinya mudah dan lengkap,"['aplikasi', 'mudah', 'lengkap']",aplikasinya mudah lengkap,-2,negative
Juharni Anni,5,2023-02-14 02:42:21,Alhamdulillah jadi,alhamdulillah jadi,['alhamdulillah'],alhamdulillah,5,positive
Nofi Rohmatika,5,2023-02-14 02:41:15,Menu setor tunainya g ad ndek hp q,menu setor tunainya g ad ndek hp q,"['menu', 'setor', 'tunai', 'g', 'ndek', 'hp', 'q']",menu setor tunainya g ndek hp q,3,positive
Samira Mira,4,2023-02-14 02:40:05,bagus lancar,bagus lancar,"['bagus', 'lancar']",bagus lancar,0,neutral
Reski Gustiansyah,4,2023-02-14 02:37:44,Apk memudahkan saya untuk bertransaksi MasyaAllah,apk memudahkan saya untuk bertransaksi masyaallah,"['apk', 'mudah', 'transaksi', 'masyaallah']",apk memudahkan bertransaksi masyaallah,7,positive
Alvian Bagaspratama,1,2023-02-14 02:33:58,"Sangat susah buat mendaftar nya,udah berulang kali gak pernah berhasil mendaftar",sangat susah buat mendaftar nyaudah berulang kali gak pernah berhasil mendaftar,"['susah', 'daftar', 'nyaudah', 'ulang', 'kali', 'hasil', 'daftar']",susah mendaftar nyaudah berulang kali berhasil mendaftar,-4,negative
I dewa gede adi Pranata,1,2023-02-14 02:29:49,"Opsi tidak menyelesaikan masalah,, jika ujung-ujungnya ke bank, hapus saja layanan daftar online... Gak niat perbaiki layanan ni BRI,, KACAU... Kalau ada rating di bawah 1,gua kasi minus beneran...",opsi tidak menyelesaikan masalah jika ujungujungnya ke bank hapus saja layanan daftar online gak niat perbaiki layanan ni bri kacau kalau ada rating di bawah gua kasi minus beneran,"['opsi', 'selesai', 'ujungujungnya', 'bank', 'hapus', 'layan', 'daftar', 'online', 'niat', 'baik', 'layan', 'bri', 'kacau', 'rating', 'kasi', 'minus', 'beneran']",opsi menyelesaikan ujungujungnya bank hapus layanan daftar online niat perbaiki layanan bri kacau rating kasi minus beneran,-8,negative
faisal daulay,5,2023-02-14 02:24:25,"Oke, semakin canggih",oke semakin canggih,"['oke', 'canggih']",oke canggih,2,positive
Somat Udin,1,2023-02-14 02:23:27,saya mau ganti password kok tidak dapat sms linkx,saya mau ganti password kok tidak dapat sms linkx,"['ganti', 'password', 'sms', 'linkx']",ganti password sms linkx,0,neutral
Fitalis Mendrofa,5,2023-02-14 02:22:16,"Perkenalkan saya pengguna Aplikasi BRImo. Setelah update ke versi terbaru yang ada fitur koneksinya, Kenapa setelah login belum berapa detik kok langsung log out? Selalu saja kembali ke menu awal. Sayang sekali seperti saya yang masih blm terbit Kartu Atm nya jadi harus pake apk BRImo untuk transaksi. Mohon bantuannya🙏🏻",perkenalkan saya pengguna aplikasi brimo setelah update ke versi terbaru yang ada fitur koneksinya kenapa setelah login belum berapa detik kok langsung log out selalu saja kembali ke menu awal sayang sekali seperti saya yang masih blm terbit kartu atm nya jadi harus pake apk brimo untuk transaksi mohon bantuannya,"['kenal', 'guna', 'aplikasi', 'brimo', 'update', 'versi', 'baru', 'fitur', 'koneksi', 'login', 'detik', 'langsung', 'log', 'out', 'menu', 'sayang', 'terbit', 'kartu', 'atm', 'nya', 'pakai', 'apk', 'brimo', 'transaksi', 'mohon', 'bantu']",perkenalkan pengguna aplikasi brimo update versi terbaru fitur koneksinya login detik langsung log out menu sayang terbit kartu atm nya pakai apk brimo transaksi mohon bantuannya,2,positive
Suwono Suwono,1,2023-02-14 02:21:09,"Aplikadi tidak membantu tambah merepotkan.jgn download aplikadi ini gak bermanfa,at.",aplikadi tidak membantu tambah merepotkanjgn download aplikadi ini gak bermanfaat,"['aplikadi', 'bantu', 'merepotkanjgn', 'download', 'aplikadi', 'manfaat']",aplikadi membantu merepotkanjgn download aplikadi bermanfaat,4,positive
Nur intan Intan,5,2023-02-14 02:19:13,Sangat membantu aplgi untk sy yg sering kehilangan Krtu ATM,sangat membantu aplgi untk sy yg sering kehilangan krtu atm,"['bantu', 'aplgi', 'untk', 'hilang', 'krtu', 'atm']",membantu aplgi untk kehilangan krtu atm,-2,negative
Angga Wardani,5,2023-02-14 02:15:53,"Bagus,.. lebih mudah..",bagus lebih mudah,"['bagus', 'mudah']",bagus mudah,1,positive
Ingka Gustaviona,1,2023-02-14 02:15:40,"Mengapa saat verifikasi video sangat susah dan harus mengulang dengan menginstal aplikasi lagi,padahal wajah saya sudah jelas juga cahayanya, Mohon solusinya pak,saya tidak bisa mengambil uang jika begini,apalagi bri sudah tidak memberikan kartu atm dan harus menggunakan brimo,tapi bagaimana bisa menggunakan brimo jika mau masuk saja tidak bisa,mohon bantuannya.",mengapa saat verifikasi video sangat susah dan harus mengulang dengan menginstal aplikasi lagipadahal wajah saya sudah jelas juga cahayanya mohon solusinya paksaya tidak bisa mengambil uang jika beginiapalagi bri sudah tidak memberikan kartu atm dan harus menggunakan brimotapi bagaimana bisa menggunakan brimo jika mau masuk saja tidak bisamohon bantuannya,"['verifikasi', 'video', 'susah', 'ulang', 'menginstal', 'aplikasi', 'lagipadahal', 'wajah', 'cahaya', 'mohon', 'solusi', 'paksaya', 'ambil', 'uang', 'beginiapalagi', 'bri', 'kartu', 'atm', 'brimotapi', 'brimo', 'masuk', 'bisamohon', 'bantu']",verifikasi video susah mengulang menginstal aplikasi lagipadahal wajah cahayanya mohon solusinya paksaya mengambil uang beginiapalagi bri kartu atm brimotapi brimo masuk bisamohon bantuannya,-13,negative
Rannu Sair,5,2023-02-14 02:05:53,Luar biasa,luar biasa,,,0,neutral
Endang Endang,5,2023-02-14 02:01:52,Mksh Sekarang di Brimo BRI transaksi apapun lebih mudah,mksh sekarang di brimo bri transaksi apapun lebih mudah,"['mksh', 'brimo', 'bri', 'transaksi', 'apa', 'mudah']",mksh brimo bri transaksi apapun mudah,6,positive
Uwais Yusuf,5,2023-02-14 01:55:24,Memudahkan,memudahkan,['mudah'],memudahkan,3,positive
aziz fernanda,1,2023-02-14 01:55:12,"Saran,untuk pemakaian kartu kalau bisa jngan di hilangkan. Karna bergantung sma aplikasi aja sangat sulit apalagi kalau ga ada paket data ga bisa narik sama sekali dong uangnya. Masak iya harus ke bank",saranuntuk pemakaian kartu kalau bisa jngan di hilangkan karna bergantung sma aplikasi aja sangat sulit apalagi kalau ga ada paket data ga bisa narik sama sekali dong uangnya masak iya harus ke bank,"['saranuntuk', 'pakai', 'kartu', 'jngan', 'hilang', 'gantung', 'aplikasi', 'sulit', 'ga', 'paket', 'data', 'ga', 'narik', 'uang', 'masak', 'iya', 'bank']",saranuntuk pemakaian kartu jngan hilangkan bergantung aplikasi sulit ga paket data ga narik uangnya masak iya bank,-7,negative
RZaL,1,2023-02-14 01:48:22,Untuk registrasi akun gagal terus!!!! Bukannya mempermudah malah mempersulit!!!,untuk registrasi akun gagal terus bukannya mempermudah malah mempersulit,"['registrasi', 'akun', 'gagal', 'mudah', 'sulit']",registrasi akun gagal mempermudah mempersulit,-1,negative
aguschengko,4,2023-02-14 01:46:04,bagus..cuma sering ada potongan biaya tak terduga,baguscuma sering ada potongan biaya tak terduga,"['baguscuma', 'potong', 'biaya', 'duga']",baguscuma potongan biaya terduga,0,neutral
Ibnu Aziz,5,2023-02-14 01:45:22,mantap,mantap,['mantap'],mantap,5,positive
Sry Wulandary Abidin,1,2023-02-14 01:41:23,"Aplikasix Seharusx Mempermudah sehingga transaksix lebih cepat, Namun sayang transaksi Prmbuatan akun brimox malah mempersulit terutama Di swaft foto, Beda dngan Mbanking Lain tdk mempersulit transaksi Pembuatanx Sangat Gampang, sya punya 2 mbanking D Handphone sya smuax Registrasi pembuatan akunx Mudah bahkan tdk mnggunak Swaft Photo... apalgi Brimo kan Rata² penggunax Org dari daerah terpencil sharusx dpermudah...",aplikasix seharusx mempermudah sehingga transaksix lebih cepat namun sayang transaksi prmbuatan akun brimox malah mempersulit terutama di swaft foto beda dngan mbanking lain tdk mempersulit transaksi pembuatanx sangat gampang sya punya  mbanking d handphone sya smuax registrasi pembuatan akunx mudah bahkan tdk mnggunak swaft photo apalgi brimo kan rata penggunax org dari daerah terpencil sharusx dpermudah,"['aplikasix', 'seharusx', 'mudah', 'transaksix', 'cepat', 'sayang', 'transaksi', 'prmbuatan', 'akun', 'brimox', 'sulit', 'swaft', 'foto', 'beda', 'dngan', 'mbanking', 'sulit', 'transaksi', 'pembuatanx', 'gampang', 'sya', 'mbanking', 'handphone', 'sya', 'smuax', 'registrasi', 'buat', 'akunx', 'mudah', 'mnggunak', 'swaft', 'photo', 'apalgi', 'brimo', 'penggunax', 'orang', 'daerah', 'pencil', 'sharusx', 'dpermudah']",aplikasix seharusx mempermudah transaksix cepat sayang transaksi prmbuatan akun brimox mempersulit swaft foto beda dngan mbanking mempersulit transaksi pembuatanx gampang sya mbanking handphone sya smuax registrasi pembuatan akunx mudah mnggunak swaft photo apalgi brimo penggunax orang daerah terpencil sharusx dpermudah,17,positive
Ibah Irawaty,1,2023-02-14 01:41:10,"Kenapa saya nggak bisa login padahal koneksi internet saya bagus,,setiap mau login di bilang koneksi terputus saya binggung??",kenapa saya nggak bisa login padahal koneksi internet saya bagussetiap mau login di bilang koneksi terputus saya binggung,"['login', 'koneksi', 'internet', 'bagussetiap', 'login', 'bilang', 'koneksi', 'putus', 'binggung']",login koneksi internet bagussetiap login bilang koneksi terputus binggung,-6,negative
Ria Jamal,1,2023-02-14 01:41:08,Aplikasi tidak berguna..harus perekaman video berulang kali tp selalu gagal,aplikasi tidak bergunaharus perekaman video berulang kali tp selalu gagal,"['aplikasi', 'bergunaharus', 'rekam', 'video', 'ulang', 'kali', 'gagal']",aplikasi bergunaharus perekaman video berulang kali gagal,-9,negative
christ sigar,5,2023-02-14 01:40:42,Semakin mudah,semakin mudah,['mudah'],mudah,3,positive
JANUARTA production,4,2023-02-14 01:40:10,Hanya butuh signal yg stabil dan semua transaksi lancar 👍,hanya butuh signal yg stabil dan semua transaksi lancar,"['butuh', 'signal', 'stabil', 'transaksi', 'lancar']",butuh signal stabil transaksi lancar,4,positive
nur khotib,5,2023-02-14 01:36:30,sangat membantu dalam semua transaksi,sangat membantu dalam semua transaksi,"['bantu', 'transaksi']",membantu transaksi,3,positive
Ainhiyah ZR,5,2023-02-14 01:31:27,"Bagus, Alhamdulillah mempermudah bgt apalagi yg hobi belanja online seperti akohhh😂",bagus alhamdulillah mempermudah bgt apalagi yg hobi belanja online seperti akohhh,"['bagus', 'alhamdulillah', 'mudah', 'banget', 'hobi', 'belanja', 'online', 'akohhh']",bagus alhamdulillah mempermudah banget hobi belanja online akohhh,6,positive
supardjo ks,5,2023-02-14 01:26:26,"Bagus sekali, praktis",bagus sekali praktis,"['bagus', 'praktis']",bagus praktis,2,positive
Hasuri Aja,5,2023-02-14 01:23:08,Aplikasi yang mempermudah nasabah untuk transaksi online,aplikasi yang mempermudah nasabah untuk transaksi online,"['aplikasi', 'mudah', 'nasabah', 'transaksi', 'online']",aplikasi mempermudah nasabah transaksi online,7,positive
sigit priyantomo,5,2023-02-14 01:22:06,"Sampai saat ini lancar-lancar saja, cukup puas👍",sampai saat ini lancarlancar saja cukup puas,"['lancarlancar', 'puas']",lancarlancar puas,3,positive
novia leo,5,2023-02-14 01:20:38,Sangat memudahkan dan bermanfaat sekali,sangat memudahkan dan bermanfaat sekali,"['mudah', 'manfaat']",memudahkan bermanfaat,8,positive
ary adi,5,2023-02-14 01:18:51,Sangat sangat membantu dan mempermudah 🙏🏼,sangat sangat membantu dan mempermudah,"['bantu', 'mudah']",membantu mempermudah,2,positive
Ika Puspita,5,2023-02-14 01:18:36,Sangat membantu saya dalam transaksi jual beli.terimakasih brimo❤️,sangat membantu saya dalam transaksi jual beliterimakasih brimo,"['bantu', 'transaksi', 'jual', 'beliterimakasih', 'brimo']",membantu transaksi jual beliterimakasih brimo,4,positive
comenk koplak,5,2023-02-14 01:18:09,Sangat membantu bertransaksi dimanapun saya berada,sangat membantu bertransaksi dimanapun saya berada,"['bantu', 'transaksi', 'mana']",membantu bertransaksi dimanapun,3,positive
Pudin saepudin,4,2023-02-14 01:13:53,Tolong di hapus data saya maaf,tolong di hapus data saya maaf,"['tolong', 'hapus', 'data', 'maaf']",tolong hapus data maaf,-6,negative
Udin Nurdi,5,2023-02-14 01:12:59,Sya suka aplikasi ini,sya suka aplikasi ini,"['sya', 'suka', 'aplikasi']",sya suka aplikasi,-2,negative
Moh enjen,5,2023-02-14 01:10:36,"Aplikasi yg bagus sekali cepat dan tepat, tanpa iklan",aplikasi yg bagus sekali cepat dan tepat tanpa iklan,"['aplikasi', 'bagus', 'cepat', 'iklan']",aplikasi bagus cepat iklan,-6,negative
Filus Lopi,5,2023-02-14 01:08:45,Bgus,bgus,['bgus'],bgus,0,neutral
teguhkan harry,5,2023-02-14 01:05:03,Mudah cepat,mudah cepat,"['mudah', 'cepat']",mudah cepat,3,positive
Hafidz Andisja,3,2023-02-14 00:51:34,Sy sangat puas,sy sangat puas,['puas'],puas,3,positive
Al Mutsanna Channel,5,2023-02-14 00:48:22,Pelayanan yang sangat baik,pelayanan yang sangat baik,['layan'],pelayanan,0,neutral
Dedhy Bahrum,5,2023-02-14 00:39:19,Good luck,good luck,"['good', 'luck']",good luck,9,positive
Raka Saputra,5,2023-02-14 00:23:50,Mantap sekali. Pembayaran apapun lebih mudah.,mantap sekali pembayaran apapun lebih mudah,"['mantap', 'bayar', 'apa', 'mudah']",mantap pembayaran apapun mudah,3,positive
Ujang Hariyanto,5,2023-02-14 00:10:42,Bagus gk terlalu jlk,bagus gk terlalu jlk,"['bagus', 'gk', 'jlk']",bagus gk jlk,-2,negative
Randi jabri,5,2023-02-14 00:02:38,Terima kasih telah memudahkan,terima kasih telah memudahkan,"['terima', 'kasih', 'mudah']",terima kasih memudahkan,6,positive
Syahrul Fadhil,1,2023-02-13 23:55:40,Apasih aplikasi nya tidak bisa dipake daftar berkali kali disuruh unistall berkali kali,apasih aplikasi nya tidak bisa dipake daftar berkali kali disuruh unistall berkali kali,"['apa', 'sih', 'aplikasi', 'nya', 'dipake', 'daftar', 'kali', 'kali', 'suruh', 'unistall', 'kali', 'kali']",apa sih aplikasi nya dipake daftar berkali kali disuruh unistall berkali kali,-11,negative
Ardie Sinaga Sinaga,5,2023-02-13 23:53:14,I love you,i love you,"['i', 'love', 'you']",i love you,2,positive
Satya Airlangga Saeka,5,2023-02-13 23:49:32,Ok pokonya,ok pokonya,"['ok', 'poko']",ok pokonya,2,positive
Dikky Septya,5,2023-02-13 23:46:28,Sangatttt mudahhh,sangatttt mudahhh,"['sangatttt', 'mudahhh']",sangatttt mudahhh,0,neutral
Lenovo As,5,2023-02-13 23:45:54,Cukup mudah digunakan,cukup mudah digunakan,['mudah'],mudah,3,positive
Figther Kile,4,2023-02-13 23:45:37,Cocok nih,cocok nih,['cocok'],cocok,1,positive
Surono Surono,5,2023-02-13 23:30:55,Bagus aplikasinya sangat membantu,bagus aplikasinya sangat membantu,"['bagus', 'aplikasi', 'bantu']",bagus aplikasinya membantu,-7,negative
Robby Alif,5,2023-02-13 23:22:01,Mudah dan cepat,mudah dan cepat,"['mudah', 'cepat']",mudah cepat,3,positive
wangi laundry Cleaning,1,2023-02-13 23:19:33,Kenapa tidak bisa masuk..data2 sudah benar malah jarigan koneksi anda jelek sedang kan saya pakai wifi huu bukan nya tambah baik malah tambah jelek,kenapa tidak bisa masukdata sudah benar malah jarigan koneksi anda jelek sedang kan saya pakai wifi huu bukan nya tambah baik malah tambah jelek,"['masukdata', 'jarigan', 'koneksi', 'jelek', 'pakai', 'wifi', 'huu', 'nya', 'jelek']",masukdata jarigan koneksi jelek pakai wifi huu nya jelek,-12,negative
Ita Nurmala,1,2023-02-13 23:10:53,Aplikasi yang sangat tidak bagus saya baru mengalami proses pendaptaran mobile bank yang sesulit ini sudah 7 hari gagal terus saran saya kalo belom siap jangan di masukan playstore semoga ini membatu untuk yang mau coba brimo mending pake yang lain.,aplikasi yang sangat tidak bagus saya baru mengalami proses pendaptaran mobile bank yang sesulit ini sudah  hari gagal terus saran saya kalo belom siap jangan di masukan playstore semoga ini membatu untuk yang mau coba brimo mending pake yang lain,"['aplikasi', 'bagus', 'alami', 'proses', 'pendaptaran', 'mobile', 'bank', 'sulit', 'gagal', 'saran', 'masuk', 'playstore', 'moga', 'batu', 'coba', 'brimo', 'lebih', 'baik', 'pakai']",aplikasi bagus mengalami proses pendaptaran mobile bank sesulit gagal saran masukan playstore semoga membatu coba brimo lebih baik pakai,-11,negative
Firman Firman,5,2023-02-13 23:09:02,"Ini sangat membantu,",ini sangat membantu,['bantu'],membantu,-1,negative
Wahyu Pras,1,2023-02-13 23:07:17,Saya sangat amat kecewa dan tidak akan pernah pakai BRImo. Saat rekam wajah selalu gagal sampai sudah mencoba 10x bukannya membantu malah mempersulit. Terimakasih sudah membuat aplikasi yg sangat tidak membantu.,saya sangat amat kecewa dan tidak akan pernah pakai brimo saat rekam wajah selalu gagal sampai sudah mencoba x bukannya membantu malah mempersulit terimakasih sudah membuat aplikasi yg sangat tidak membantu,"['kecewa', 'pakai', 'brimo', 'rekam', 'wajah', 'gagal', 'coba', 'x', 'bantu', 'sulit', 'terimakasih', 'aplikasi', 'bantu']",kecewa pakai brimo rekam wajah gagal mencoba x membantu mempersulit terimakasih aplikasi membantu,-5,negative
Ahmad_ Zi,3,2023-02-13 22:58:14,"Kecewa, ketika transaksi top up ke link aja, keterangan masih proses, tapi saldo di akun Brimo sy berkurang, namun saldo di link aja sy belum masuk, di komplain malah makin ngawur",kecewa ketika transaksi top up ke link aja keterangan masih proses tapi saldo di akun brimo sy berkurang namun saldo di link aja sy belum masuk di komplain malah makin ngawur,"['kecewa', 'transaksi', 'top', 'up', 'link', 'terang', 'proses', 'saldo', 'akun', 'brimo', 'kurang', 'saldo', 'link', 'masuk', 'komplain', 'bicara', 'sembarang']",kecewa transaksi top up link keterangan proses saldo akun brimo berkurang saldo link masuk komplain berbicara sembarangan,3,positive
Ermi pujianti Pujianti,1,2023-02-13 22:53:18,"Amplikasi nya buruk dan pesan saya semua pelayanan jangan lemot,amplikasi harus di perbaharui lagi,masa aq cek saldo total nya masih ajak susah.",amplikasi nya buruk dan pesan saya semua pelayanan jangan lemotamplikasi harus di perbaharui lagimasa aq cek saldo total nya masih ajak susah,"['amplikasi', 'nya', 'buruk', 'pesan', 'layan', 'lemotamplikasi', 'baharu', 'lagimasa', 'cek', 'saldo', 'total', 'nya', 'ajak', 'susah']",amplikasi nya buruk pesan pelayanan lemotamplikasi perbaharui lagimasa cek saldo total nya ajak susah,-10,negative
Asep Ciblek,5,2023-02-13 22:45:59,Baguuus,baguuus,['baguuus'],baguuus,0,neutral
Thie Chadel,5,2023-02-13 22:42:23,cepet transakainya,cepet transakainya,"['cepat', 'transakainya']",cepat transakainya,0,neutral
